"","Status.of.existing.checking.account","Duration.in.months","Credit.history","Purpose","Credit.amount","Savings.account.bonds","Present.employment.since","Installment.rate.in.percentage.of.disposable.income","Personal.status.and.sex","Other.debtors...guarantors","Present.residence.since","Property","Age.in.years","Other.installment.plans","Housing","Number.of.existing.credits.at.this.bank","Job","Number.of.people.being.liable.to.provide.maintenance.for","Telephone","Foreign.worker","Score"
"627","Over 200",6,"existing credits paid back duly till now","furniture/equipment",2116,"less than 100","1 to 4 years",2,"male (single)","none",2,"real estate",41,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"628","0 - 200",9,"all credits at this bank paid back duly","car (new)",1437,"100 to 500","4 to 7 years",2,"male (single)","none",3,"unknown / no property",29,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"629","No checking account",42,"critical account/ other credits existing (not at this bank)","furniture/equipment",4042,"500 to 1000","1 to 4 years",4,"male (single)","none",4,"real estate",36,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"630","No checking account",9,"existing credits paid back duly till now","education",3832,"unknown / no savings account","more than 7 years",1,"male (single)","none",4,"real estate",64,"none","own",1,"unskilled - resident",1,"none","Yes","good"
"631","Negative",24,"existing credits paid back duly till now","radio/television",3660,"less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",4,"car or other",28,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"632","Negative",18,"all credits at this bank paid back duly","furniture/equipment",1553,"less than 100","1 to 4 years",4,"male (single)","none",3,"car or other",44,"bank","own",1,"skilled employee / official",1,"none","Yes","bad"
"633","0 - 200",15,"existing credits paid back duly till now","radio/television",1444,"unknown / no savings account","less than 1 year",4,"male (single)","none",1,"building society savings agreement/ life insurance",23,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"634","No checking account",9,"existing credits paid back duly till now","furniture/equipment",1980,"less than 100","less than 1 year",2,"female (divorced/separated/married)","co-Applicant",2,"car or other",19,"none","rent",2,"skilled employee / official",1,"none","Yes","bad"
"635","0 - 200",24,"existing credits paid back duly till now","car (new)",1355,"less than 100","less than 1 year",3,"female (divorced/separated/married)","none",4,"car or other",25,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad"
"636","No checking account",12,"existing credits paid back duly till now","education",1393,"less than 100","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",47,"bank","own",3,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
"637","No checking account",24,"existing credits paid back duly till now","radio/television",1376,"500 to 1000","4 to 7 years",4,"female (divorced/separated/married)","none",1,"car or other",28,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"638","No checking account",60,"delay in paying off in the past","radio/television",15653,"less than 100","4 to 7 years",2,"male (single)","none",4,"car or other",21,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"639","No checking account",12,"existing credits paid back duly till now","radio/television",1493,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",3,"car or other",34,"none","own",1,"skilled employee / official",2,"none","Yes","good"
"640","Negative",42,"delay in paying off in the past","radio/television",4370,"less than 100","4 to 7 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",26,"bank","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","bad"
"641","Negative",18,"existing credits paid back duly till now","education",750,"less than 100","Unemployed",4,"female (divorced/separated/married)","none",1,"real estate",27,"none","own",1,"unemployed / unskilled - non-resident",1,"none","Yes","bad"
"642","0 - 200",15,"existing credits paid back duly till now","repairs",1308,"less than 100","more than 7 years",4,"male (single)","none",4,"car or other",38,"none","own",2,"unskilled - resident",1,"none","Yes","good"
"643","No checking account",15,"existing credits paid back duly till now","education",4623,"100 to 500","1 to 4 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",40,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"644","No checking account",24,"critical account/ other credits existing (not at this bank)","radio/television",1851,"less than 100","4 to 7 years",4,"male (married/widowed)","guarantor",2,"car or other",33,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"645","Negative",18,"critical account/ other credits existing (not at this bank)","radio/television",1880,"less than 100","4 to 7 years",4,"male (married/widowed)","none",1,"building society savings agreement/ life insurance",32,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"646","No checking account",36,"delay in paying off in the past","business",7980,"unknown / no savings account","less than 1 year",4,"male (single)","none",4,"car or other",27,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"647","Negative",30,"no credits taken / all credits paid back duly","furniture/equipment",4583,"less than 100","1 to 4 years",2,"male (divorced/separated)","guarantor",2,"real estate",32,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"648","No checking account",12,"existing credits paid back duly till now","car (new)",1386,"500 to 1000","1 to 4 years",2,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",26,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"649","Over 200",24,"existing credits paid back duly till now","car (new)",947,"less than 100","4 to 7 years",4,"male (single)","none",3,"unknown / no property",38,"bank","for free",1,"skilled employee / official",2,"none","Yes","bad"
"650","Negative",12,"existing credits paid back duly till now","education",684,"less than 100","1 to 4 years",4,"male (single)","none",4,"car or other",40,"none","rent",1,"unskilled - resident",2,"none","Yes","bad"
"651","Negative",48,"existing credits paid back duly till now","education",7476,"less than 100","4 to 7 years",4,"male (single)","none",1,"unknown / no property",50,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"652","0 - 200",12,"existing credits paid back duly till now","furniture/equipment",1922,"less than 100","1 to 4 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",37,"none","own",1,"unskilled - resident",1,"none","Yes","bad"
"653","Negative",24,"existing credits paid back duly till now","car (new)",2303,"less than 100","more than 7 years",4,"male (single)","co-Applicant",1,"real estate",45,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"654","0 - 200",36,"delay in paying off in the past","car (new)",8086,"100 to 500","more than 7 years",2,"male (single)","none",4,"car or other",42,"none","own",4,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"655","No checking account",24,"critical account/ other credits existing (not at this bank)","car (used)",2346,"less than 100","4 to 7 years",4,"male (single)","none",3,"car or other",35,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"656","Negative",14,"existing credits paid back duly till now","car (new)",3973,"less than 100","Unemployed",1,"male (single)","none",4,"unknown / no property",22,"none","for free",1,"skilled employee / official",1,"none","Yes","good"
"657","0 - 200",12,"existing credits paid back duly till now","car (new)",888,"less than 100","more than 7 years",4,"male (single)","none",4,"car or other",41,"bank","own",1,"unskilled - resident",2,"none","Yes","bad"
"658","No checking account",48,"existing credits paid back duly till now","radio/television",10222,"unknown / no savings account","4 to 7 years",4,"male (single)","none",3,"car or other",37,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"659","0 - 200",30,"no credits taken / all credits paid back duly","business",4221,"less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",1,"car or other",28,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"660","0 - 200",18,"critical account/ other credits existing (not at this bank)","furniture/equipment",6361,"less than 100","more than 7 years",2,"male (single)","none",1,"unknown / no property",41,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"661","Over 200",12,"existing credits paid back duly till now","radio/television",1297,"less than 100","1 to 4 years",3,"male (married/widowed)","none",4,"real estate",23,"none","rent",1,"skilled employee / official",1,"none","Yes","good"
